session_id,file_source,start_time,end_time,error_types_count,error_types_list,highest_severity,transaction_type,transaction_completed,line_count,withdrawal_amount,notes_presented_not_taken,card_not_taken
ABM250EJ_20250618_20250618.txt_SESSION_1_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 00:46,06/18/2025 00:47,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_6_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:06,06/18/2025 06:07,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_8_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:11,06/18/2025 06:12,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_13_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:23,06/18/2025 06:24,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_14_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:24,06/18/2025 06:26,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_16_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:46,06/18/2025 06:47,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_17_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:49,06/18/2025 06:50,1,device_error,high,balance_inquiry,True,33,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_18_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:51,06/18/2025 06:52,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_20_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:58,06/18/2025 06:59,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_24_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 07:03,06/18/2025 07:04,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_27_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 07:08,06/18/2025 07:09,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_30_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 07:17,06/18/2025 07:18,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_35_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 07:30,06/18/2025 07:31,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_46_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 07:53,06/18/2025 07:54,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_51_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 08:04,06/18/2025 08:06,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_52_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 08:07,06/18/2025 08:08,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_54_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 08:11,06/18/2025 08:11,1,device_error,high,,True,20,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_57_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 08:38,06/18/2025 08:39,1,device_error,high,balance_inquiry,True,28,,False,False
ABM250EJ_20250618_20250618.txt_SESSION_58_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 08:46,06/18/2025 08:55,5,supervisor_mode_entry | cash_retract_bna | cash_retract_cashin | cash_retract_cim | device_error,critical,balance_inquiry,True,48,,False,False
