session_id,file_source,start_time,end_time,transaction_type,withdrawal_amount,deposit_amount,card_inserted,pin_entered,transaction_completed,notes_dispensed,notes_taken,card_taken,line_count,character_count,session_length_category,authorization_code
ABM250EJ_20250618_20250618.txt_SESSION_2_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 04:48,06/18/2025 04:49,withdrawal,1000.0,,True,True,True,True,True,True,45,1072,normal,044933
ABM250EJ_20250618_20250618.txt_SESSION_3_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 04:49,06/18/2025 04:50,withdrawal,1000.0,,True,True,True,True,True,True,45,1072,normal,045035
ABM250EJ_20250618_20250618.txt_SESSION_4_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 05:29,06/18/2025 05:31,withdrawal,10000.0,,True,True,True,True,True,True,45,1119,normal,580982
ABM250EJ_20250618_20250618.txt_SESSION_5_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 05:50,06/18/2025 05:51,balance_inquiry,,,True,True,True,False,False,True,31,687,normal,
ABM250EJ_20250618_20250618.txt_SESSION_7_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:10,06/18/2025 06:11,balance_inquiry,,,True,True,True,False,False,True,29,638,normal,
ABM250EJ_20250618_20250618.txt_SESSION_9_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:12,06/18/2025 06:13,withdrawal,2000.0,,True,True,True,True,True,True,45,1119,normal,588037
ABM250EJ_20250618_20250618.txt_SESSION_10_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:15,06/18/2025 06:16,withdrawal,3000.0,,True,True,True,True,True,True,45,1072,normal,061645
ABM250EJ_20250618_20250618.txt_SESSION_11_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:20,06/18/2025 06:21,withdrawal,10000.0,,True,True,True,True,True,True,43,1056,normal,062041
ABM250EJ_20250618_20250618.txt_SESSION_12_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:21,06/18/2025 06:21,balance_inquiry,,,True,True,True,False,False,True,35,793,normal,589969
ABM250EJ_20250618_20250618.txt_SESSION_15_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:29,06/18/2025 06:30,withdrawal,3000.0,,True,True,True,True,True,True,45,1072,normal,062951
ABM250EJ_20250618_20250618.txt_SESSION_19_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:56,06/18/2025 06:57,withdrawal,9000.0,,True,True,True,True,True,True,45,1072,normal,065757
ABM250EJ_20250618_20250618.txt_SESSION_21_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 06:59,06/18/2025 07:00,balance_inquiry,,,True,True,True,False,False,True,34,772,normal,
ABM250EJ_20250618_20250618.txt_SESSION_22_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 07:00,06/18/2025 07:01,balance_inquiry,,,True,True,True,False,False,True,15,374,normal,
ABM250EJ_20250618_20250618.txt_SESSION_23_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 07:01,06/18/2025 07:02,withdrawal,3000.0,,True,True,True,True,True,True,50,1181,normal,070064
